Parameter | Placebo | (%) | Total | (%) | Xanomeline High Dose | (%) | Xanomeline Low Dose | (%)
ATRIAL FIBRILLATION | 1 | (1.2) | 5 | (2.0) | 3 | (3.6) | 1 | (1.2)
ATRIAL FLUTTER | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
ATRIAL HYPERTROPHY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
ATRIOVENTRICULAR BLOCK FIRST DEGREE | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
ATRIOVENTRICULAR BLOCK SECOND DEGREE | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BRADYCARDIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BUNDLE BRANCH BLOCK LEFT | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
BUNDLE BRANCH BLOCK RIGHT | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
CARDIAC DISORDER | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
CARDIAC FAILURE CONGESTIVE | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
MYOCARDIAL INFARCTION | 4 | (4.7) | 10 | (3.9) | 4 | (4.8) | 2 | (2.4)
PALPITATIONS | 0 | (0.0) | 2 | (0.8) | 0 | (0.0) | 2 | (2.4)
SINUS ARRHYTHMIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
SINUS BRADYCARDIA | 2 | (2.3) | 17 | (6.7) | 8 | (9.5) | 7 | (8.3)
SUPRAVENTRICULAR EXTRASYSTOLES | 1 | (1.2) | 3 | (1.2) | 1 | (1.2) | 1 | (1.2)
SUPRAVENTRICULAR TACHYCARDIA | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
TACHYCARDIA | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
VENTRICULAR EXTRASYSTOLES | 0 | (0.0) | 3 | (1.2) | 1 | (1.2) | 2 | (2.4)
VENTRICULAR HYPERTROPHY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
WOLFF-PARKINSON-WHITE SYNDROME | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
VENTRICULAR SEPTAL DEFECT | 0 | (0.0) | 3 | (1.2) | 2 | (2.4) | 1 | (1.2)
CERUMEN IMPACTION | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
EAR PAIN | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
VERTIGO | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
CONJUNCTIVAL HAEMORRHAGE | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
CONJUNCTIVITIS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
EYE ALLERGY | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
EYE PRURITUS | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
EYE SWELLING | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
VISION BLURRED | 0 | (0.0) | 2 | (0.8) | 1 | (1.2) | 1 | (1.2)
ABDOMINAL DISCOMFORT | 0 | (0.0) | 1 | (0.4) | 1 | (1.2) | 0 | (0.0)
ABDOMINAL PAIN | 1 | (1.2) | 5 | (2.0) | 1 | (1.2) | 3 | (3.6)
CONSTIPATION | 1 | (1.2) | 1 | (0.4) | 0 | (0.0) | 0 | (0.0)
DIARRHOEA | 9 | (10.5) | 17 | (6.7) | 4 | (4.8) | 4 | (4.8)
DYSPEPSIA | 1 | (1.2) | 2 | (0.8) | 0 | (0.0) | 1 | (1.2)
DYSPHAGIA | 0 | (0.0) | 1 | (0.4) | 0 | (0.0) | 1 | (1.2)
