report_id,row_id,col_id,cell_type,cell_formatted,sort_order,_sub_col_order
PUB-AE-BY-SOC,R0001,Placebo_n,INTEGER,1,1,1
PUB-AE-BY-SOC,R0001,Placebo_pct,PERCENTAGE,(1.2),1,2
PUB-AE-BY-SOC,R0001,Total_n,INTEGER,5,1,1
PUB-AE-BY-SOC,R0001,Total_pct,PERCENTAGE,(2.0),1,2
PUB-AE-BY-SOC,R0001,Xanomeline_High_Dose_n,INTEGER,3,1,1
PUB-AE-BY-SOC,R0001,Xanomeline_High_Dose_pct,PERCENTAGE,(3.6),1,2
PUB-AE-BY-SOC,R0001,Xanomeline_Low_Dose_n,INTEGER,1,1,1
PUB-AE-BY-SOC,R0001,Xanomeline_Low_Dose_pct,PERCENTAGE,(1.2),1,2
PUB-AE-BY-SOC,R0002,Placebo_n,INTEGER,0,2,1
PUB-AE-BY-SOC,R0002,Placebo_pct,PERCENTAGE,(0.0),2,2
PUB-AE-BY-SOC,R0002,Total_n,INTEGER,2,2,1
PUB-AE-BY-SOC,R0002,Total_pct,PERCENTAGE,(0.8),2,2
PUB-AE-BY-SOC,R0002,Xanomeline_High_Dose_n,INTEGER,1,2,1
PUB-AE-BY-SOC,R0002,Xanomeline_High_Dose_pct,PERCENTAGE,(1.2),2,2
PUB-AE-BY-SOC,R0002,Xanomeline_Low_Dose_n,INTEGER,1,2,1
PUB-AE-BY-SOC,R0002,Xanomeline_Low_Dose_pct,PERCENTAGE,(1.2),2,2
PUB-AE-BY-SOC,R0003,Placebo_n,INTEGER,1,3,1
PUB-AE-BY-SOC,R0003,Placebo_pct,PERCENTAGE,(1.2),3,2
PUB-AE-BY-SOC,R0003,Total_n,INTEGER,1,3,1
PUB-AE-BY-SOC,R0003,Total_pct,PERCENTAGE,(0.4),3,2
PUB-AE-BY-SOC,R0003,Xanomeline_High_Dose_n,INTEGER,0,3,1
PUB-AE-BY-SOC,R0003,Xanomeline_High_Dose_pct,PERCENTAGE,(0.0),3,2
PUB-AE-BY-SOC,R0003,Xanomeline_Low_Dose_n,INTEGER,0,3,1
PUB-AE-BY-SOC,R0003,Xanomeline_Low_Dose_pct,PERCENTAGE,(0.0),3,2
PUB-AE-BY-SOC,R0004,Placebo_n,INTEGER,1,4,1
PUB-AE-BY-SOC,R0004,Placebo_pct,PERCENTAGE,(1.2),4,2
PUB-AE-BY-SOC,R0004,Total_n,INTEGER,2,4,1
PUB-AE-BY-SOC,R0004,Total_pct,PERCENTAGE,(0.8),4,2
PUB-AE-BY-SOC,R0004,Xanomeline_High_Dose_n,INTEGER,0,4,1
PUB-AE-BY-SOC,R0004,Xanomeline_High_Dose_pct,PERCENTAGE,(0.0),4,2
PUB-AE-BY-SOC,R0004,Xanomeline_Low_Dose_n,INTEGER,1,4,1
PUB-AE-BY-SOC,R0004,Xanomeline_Low_Dose_pct,PERCENTAGE,(1.2),4,2
PUB-AE-BY-SOC,R0005,Placebo_n,INTEGER,1,5,1
PUB-AE-BY-SOC,R0005,Placebo_pct,PERCENTAGE,(1.2),5,2
PUB-AE-BY-SOC,R0005,Total_n,INTEGER,1,5,1
PUB-AE-BY-SOC,R0005,Total_pct,PERCENTAGE,(0.4),5,2
PUB-AE-BY-SOC,R0005,Xanomeline_High_Dose_n,INTEGER,0,5,1
PUB-AE-BY-SOC,R0005,Xanomeline_High_Dose_pct,PERCENTAGE,(0.0),5,2
PUB-AE-BY-SOC,R0005,Xanomeline_Low_Dose_n,INTEGER,0,5,1
PUB-AE-BY-SOC,R0005,Xanomeline_Low_Dose_pct,PERCENTAGE,(0.0),5,2
PUB-AE-BY-SOC,R0006,Placebo_n,INTEGER,1,6,1
PUB-AE-BY-SOC,R0006,Placebo_pct,PERCENTAGE,(1.2),6,2
PUB-AE-BY-SOC,R0006,Total_n,INTEGER,1,6,1
PUB-AE-BY-SOC,R0006,Total_pct,PERCENTAGE,(0.4),6,2
PUB-AE-BY-SOC,R0006,Xanomeline_High_Dose_n,INTEGER,0,6,1
PUB-AE-BY-SOC,R0006,Xanomeline_High_Dose_pct,PERCENTAGE,(0.0),6,2
PUB-AE-BY-SOC,R0006,Xanomeline_Low_Dose_n,INTEGER,0,6,1
