report_id,row_id,col_id,cell_type,cell_formatted,sort_order,_sub_col_order
PUB-DEMOGRAPHICS,R0001,Placebo_n,INTEGER,75.2,1,1
PUB-DEMOGRAPHICS,R0001,Xanomeline_High_Dose_n,INTEGER,74.4,1,1
PUB-DEMOGRAPHICS,R0001,Xanomeline_Low_Dose_n,INTEGER,75.7,1,1
PUB-DEMOGRAPHICS,R0002,Placebo_n,INTEGER,76.0,2,1
PUB-DEMOGRAPHICS,R0002,Xanomeline_High_Dose_n,INTEGER,76.0,2,1
PUB-DEMOGRAPHICS,R0002,Xanomeline_Low_Dose_n,INTEGER,77.5,2,1
PUB-DEMOGRAPHICS,R0003,Placebo_n,INTEGER,52 to 89,3,1
PUB-DEMOGRAPHICS,R0003,Xanomeline_High_Dose_n,INTEGER,56 to 88,3,1
PUB-DEMOGRAPHICS,R0003,Xanomeline_Low_Dose_n,INTEGER,51 to 88,3,1
PUB-DEMOGRAPHICS,R0004,Placebo_n,INTEGER,8.6,4,1
PUB-DEMOGRAPHICS,R0004,Xanomeline_High_Dose_n,INTEGER,7.9,4,1
PUB-DEMOGRAPHICS,R0004,Xanomeline_Low_Dose_n,INTEGER,8.3,4,1
PUB-DEMOGRAPHICS,R0005,Placebo_n,INTEGER,162.6,5,1
PUB-DEMOGRAPHICS,R0005,Xanomeline_High_Dose_n,INTEGER,165.8,5,1
PUB-DEMOGRAPHICS,R0005,Xanomeline_Low_Dose_n,INTEGER,163.4,5,1
PUB-DEMOGRAPHICS,R0006,Placebo_n,INTEGER,162.6,6,1
PUB-DEMOGRAPHICS,R0006,Xanomeline_High_Dose_n,INTEGER,165.1,6,1
PUB-DEMOGRAPHICS,R0006,Xanomeline_Low_Dose_n,INTEGER,162.6,6,1
PUB-DEMOGRAPHICS,R0007,Placebo_n,INTEGER,137.2 to 185.4,7,1
PUB-DEMOGRAPHICS,R0007,Xanomeline_High_Dose_n,INTEGER,146.1 to 190.5,7,1
PUB-DEMOGRAPHICS,R0007,Xanomeline_Low_Dose_n,INTEGER,135.9 to 195.6,7,1
PUB-DEMOGRAPHICS,R0008,Placebo_n,INTEGER,11.5,8,1
PUB-DEMOGRAPHICS,R0008,Xanomeline_High_Dose_n,INTEGER,10.1,8,1
PUB-DEMOGRAPHICS,R0008,Xanomeline_Low_Dose_n,INTEGER,10.4,8,1
PUB-DEMOGRAPHICS,R0009,Placebo_n,INTEGER,62.8,9,1
PUB-DEMOGRAPHICS,R0009,Xanomeline_High_Dose_n,INTEGER,70.0,9,1
PUB-DEMOGRAPHICS,R0009,Xanomeline_Low_Dose_n,INTEGER,67.3,9,1
PUB-DEMOGRAPHICS,R0010,Placebo_n,INTEGER,60.6,10,1
PUB-DEMOGRAPHICS,R0010,Xanomeline_High_Dose_n,INTEGER,69.2,10,1
PUB-DEMOGRAPHICS,R0010,Xanomeline_Low_Dose_n,INTEGER,64.9,10,1
PUB-DEMOGRAPHICS,R0011,Placebo_n,INTEGER,34 to 86.2,11,1
PUB-DEMOGRAPHICS,R0011,Xanomeline_High_Dose_n,INTEGER,41.7 to 108,11,1
PUB-DEMOGRAPHICS,R0011,Xanomeline_Low_Dose_n,INTEGER,45.4 to 106.1,11,1
