report_id,row_id,col_id,cell_type,cell_formatted,sort_order,_sub_col_order
PUB-EFFICACY,R0001,Placebo_n,INTEGER,1.1,1,1
PUB-EFFICACY,R0001,Xanomeline_High_Dose_n,INTEGER,2.3,1,1
PUB-EFFICACY,R0001,Xanomeline_Low_Dose_n,INTEGER,0.8,1,1
PUB-EFFICACY,R0002,Placebo_n,INTEGER,0.0,2,1
PUB-EFFICACY,R0002,Xanomeline_High_Dose_n,INTEGER,0.0,2,1
PUB-EFFICACY,R0002,Xanomeline_Low_Dose_n,INTEGER,0.0,2,1
PUB-EFFICACY,R0003,Placebo_n,INTEGER,-237 to 238,3,1
PUB-EFFICACY,R0003,Xanomeline_High_Dose_n,INTEGER,-15 to 237,3,1
PUB-EFFICACY,R0003,Xanomeline_Low_Dose_n,INTEGER,-229 to 236,3,1
PUB-EFFICACY,R0004,Placebo_n,INTEGER,21.8,4,1
PUB-EFFICACY,R0004,Xanomeline_High_Dose_n,INTEGER,18.8,4,1
PUB-EFFICACY,R0004,Xanomeline_Low_Dose_n,INTEGER,18.7,4,1
PUB-EFFICACY,R0001,LABEL,LABEL,Mean,1,0
PUB-EFFICACY,R0002,LABEL,LABEL,Median,2,0
PUB-EFFICACY,R0003,LABEL,LABEL,Range,3,0
PUB-EFFICACY,R0004,LABEL,LABEL,SD,4,0
